cell_id,cluster,leiden
1,luminal epithelial 3,24
2,epithelial,22
3,luminal epithelial 3,0
4,immune,8
5,epithelial,4
6,epithelial,8
7,luminal epithelial 3,8
8,epithelial,2
9,proliferating epithelial,11
10,luminal epithelial 3,22
11,epithelial,8
12,basal epithelial 1,11
13,luminal epithelial 2,0
14,luminal epithelial 2,0
15,fibroblasts,2
16,epithelial,1
17,epithelial,19
18,luminal epithelial 2,7
19,epithelial,4
20,luminal epithelial 2,13
21,GATA3+ epithelial,16
22,luminal epithelial 2,16
23,epithelial,10
24,proliferating epithelial,13
25,epithelial,10
26,GATA3+ epithelial,13
27,luminal epithelial 3,15
28,luminal epithelial 2,0
29,t cells,0
30,GATA3+ epithelial,0
31,proliferating epithelial,0
32,epithelial,18
33,luminal epithelial 2,16
34,GATA3+ epithelial,13
35,proliferating epithelial,4
36,GATA3+ epithelial,0
37,luminal epithelial 2,22
38,epithelial,11
39,luminal epithelial 2,1
40,fibroblasts,9
41,basal epithelial 1,16
42,stromal 1,7
43,epithelial,15
44,luminal epithelial 2,1
45,luminal epithelial 2,13
46,fibroblasts,2
47,basal epithelial 1,15
48,epithelial,22
49,luminal epithelial 2,0
50,epithelial,4
51,proliferating epithelial,0
52,epithelial,17
53,proliferating epithelial,0
54,proliferating epithelial,4
55,epithelial,0
56,epithelial,19
57,proliferating epithelial,13
58,luminal epithelial 2,0
59,GATA3+ epithelial,0
60,hypoxic cells,5
61,epithelial,11
62,epithelial,17
63,GATA3+ epithelial,11
64,GATA3+ epithelial,0
65,luminal epithelial 2,4
66,luminal epithelial 2,17
67,luminal epithelial 2,0
68,GATA3+ epithelial,4
69,luminal epithelial 2,13
70,luminal epithelial 2,16
71,luminal epithelial 2,17
72,epithelial,11
73,luminal epithelial 2,11
74,epithelial,7
75,luminal epithelial 2,13
76,GATA3+ epithelial,13
77,luminal epithelial 2,8
78,luminal epithelial 2,16
79,immune,1
80,hypoxic cells,22
81,epithelial,0
82,luminal epithelial 2,0
83,proliferating epithelial,22
84,basal epithelial 1,4
85,GATA3+ epithelial,0
86,luminal epithelial 2,2
87,proliferating epithelial,16
88,luminal epithelial 3,10
89,epithelial,11
90,proliferating epithelial,13
91,hypoxic cells,2
92,luminal epithelial 2,10
93,apoptotic epithelial 1,9
94,epithelial,0
95,t cells,1
96,luminal epithelial 2,14
97,luminal epithelial 2,2
98,hypoxic cells,22
99,basal epithelial 1,8
100,luminal epithelial 1,8
101,apoptotic epithelial 1,11
102,epithelial,12
103,GATA3+ epithelial,13
104,luminal epithelial 2,4
105,epithelial,4
106,proliferating epithelial,0
107,proliferating epithelial,0
108,epithelial,14
109,t cells,2
110,proliferating epithelial,15
111,luminal epithelial 1,16
112,proliferating epithelial,11
113,luminal epithelial 2,7
114,epithelial,22
115,epithelial,22
116,stromal 1,4
117,luminal epithelial 2,19
118,proliferating epithelial,0
119,GATA3+ epithelial,18
120,luminal epithelial 2,7
121,luminal epithelial 2,16
122,hypoxic cells,2
123,hypoxic cells,13
